" ",Mac,Windows,Linux
binding,:material-check-bold:,:material-check-bold:,:material-check-bold:
build,:material-check-bold:,:material-check-bold:," "
clipboard,:material-check-bold:,:material-check-bold:,:material-check-bold:
context menus,:material-check-bold:,:material-check-bold:,:material-check-bold:
dialogs,:material-minus:,:material-check-bold:," "
drag-n-drop,:material-check-bold:,:material-close:," "
events,:material-check-bold:,:material-check-bold:," "
frameless,:material-check-bold:,:material-check-bold:," "
keybindings,:material-check-bold:,:material-check-bold:," "
plain,:material-check-bold:,:material-check-bold:," "
screen,:material-check-bold:,:material-check-bold:," "
systray,:material-check-bold:,:material-check-bold:,:material-check-bold:
video,:material-check-bold:,:material-check-bold:," "
window,:material-minus:,:material-check-bold:," "
wml,:material-check-bold:,:material-check-bold:," "
